artifact,size,sha256,category
ONE_PAGE_SUMMARY.pdf,682,2cb60c271b5c471b4d7e55d63e569964f8dfdb626b318172731de22bb1024b8f,artifact
QuASIM_Full_Package_2025.zip,1670423,6b8e0dcb9e0691831fc25c11e42bf278c9dfcd8b09e930a13362fbc7980f7e9d,artifact
compiled_realities/runs/20260118_103619/fig_chi.png,105212,149f70f516f370ec5b3a3c721cc26b72f19f66472ee6182013d6861d1da4fe76,artifact
compiled_realities/runs/20260118_103619/fig_slab.png,98337,7bd8c5cdcafa6b9013baa85ec2e27ff97785b3150c2f5d13a6f87416b2803249,artifact
compiled_realities/runs/20260118_103619/results.parquet,31885,286452f4cc07cc971c41ee9c8d7b464a03bb9dcef95b5c57451a1e48cb727e2d,other
critical_scaling.pdf,33165,71b2d25f662fa92d51c559c823926c1eeec254b65719d375c9c1b0b0ae92f950,artifact
critical_scaling.png,493424,63a23a2354e0bf73ac23deceddfc2fa53954f2e51bd9ee2adba06966f2e2c344,artifact
critical_scaling.svg,106874,8ee63957ade230701c878675c19517b1a67c0108ddddca0afcda3a357e00c6d8,artifact
dashboard/assets/images/logo-quantum.svg,1790,a4e77a38f80114eb7528991715303fb188a988add987b4f5c57c266a8ebb09dc,artifact
dashboard/screenshots/01-landing-hero.png,1309620,048a3cb6963e68482c70f5fa2c744537e4e27de1a1141372cdfd07aa1a97855c,artifact
dashboard/screenshots/02-dashboard-main.png,37219,49f6c7290d9bc95a3f28710ae6b7c6a9162c4955e79fe31d7574fe9d210164b6,artifact
dashboards/qevf_visualizer.ipynb,2112,2c8968a49ceaab33a44dec3fba1d685c339279bdd49f7c8dc6aa4bb32b9c4d04,artifact
docs/assets/quasim_logo_dark.svg,1865,e06b0a00dc9f4631c4eb9d7b19651bf858cafda50bed9709d318378a6752c635,artifact
docs/assets/quasim_logo_light.svg,1865,126833046c4c739143e8a6f290f391e743f4a0ffeb420d285984d9ef03670721,artifact
docs/assets/valuation_dcf.png,136028,d1e7a6e11e440e336e9fd5b1bbffa529f47de98b110b58ad92865d3ddc9eb6d4,artifact
docs/assets/valuation_heatmap.png,204822,660fa37cd4fae7e98a8eb751074fc439d38fe4a82e6868234362caa452107e28,artifact
docs/assets/valuation_waterfall.png,147171,13bc020c8919f478b43456b9818091a07a18f51a6d6b79186814f2157525d87a,artifact
docs/supercomputer/compliance/cmmc_apex_framework.pdf,76,6b59d0df011e4ebc473f5ad2be032ccfdccb9e331e63119127ccc3becc711dd6,artifact
docs/supercomputer/compliance/do178c_transcendent.pdf,76,f9c0fe446dac86a3b299a6aba2f8946139b2dc8db4e49e8fa9c00bf1c804c235,artifact
docs/supercomputer/compliance/fips_quantum.pdf,69,c40996eda68e3e14949e1a2fb198be93b62954a9796a7125b9366a8c9bcdc9e7,artifact
docs/supercomputer/compliance/universal_export_clearance.pdf,83,eba00d65faafebb1cec803df04d46a0846b3d33c2f779704e4960cd5ae29d4a5,artifact
entropy_scaling.pdf,20983,02659e4405f34ec7b4757d31d36081b2b1ad3b79d88f399757a5b79163470616,artifact
entropy_scaling.png,195321,1c606c3a3fdfba102e3667afc8c9c504e09eec8094806ca78039b579c823c022,artifact
extractor_demo.ipynb,2301,4d82ebaf681819806fc371a3641887a5c616f5d312a30f3889069d4b3fba101c,artifact
main.pdf,119115,9864e5e28ef0409e31140a9f584850de692945da8ec1713321a018d667e6b0b7,artifact
main_arXiv_package.zip,525241,e324359fc95fc7d3c93b86c74e914e41dd93ac55d1647564d07a911d4f5f44ea,artifact
main_revtex_clean.pdf,395176,bce88a87c937a40510056ade14f8eaafd9517eb7091678a36de241dbe775919c,artifact
main_revtex_final.pdf,378749,ea20100659eec0cd1a50708a83c6ab671dde03d538fbaa87b56a4029952532b2,artifact
main_revtex_new.pdf,221412,9e08902c9b44c1867bfb148b70fe0e45a5f585c81da6dc3fded9404d2bfcf423,artifact
output_package/visualizations/architecture/arch_view_001.png,22066,8c28bceef8527be715bb66f7c23d95b9778806e48840b7fd26d85f8f31a413d8,artifact
output_package/visualizations/architecture/arch_view_002.png,22453,992a4ad5aeb361a5765aa91256e5a6814e8ab4fe8a1e23155cb41e11fdf521e3,artifact
output_package/visualizations/architecture/arch_view_003.png,22669,5acda3253017a616d58cdbbc1c6157701133af0d1418adaa37b6fb2308dfa313,artifact
output_package/visualizations/architecture/arch_view_004.png,22248,efc4a70c47f1c11b409fa49db2312c8fbe38844bf6800687118b225d04d1a7ad,artifact
output_package/visualizations/architecture/arch_view_005.png,22421,57620ca757946c4b9f895ce6625c71510d8fa21f0a0dac6b485856cceb4c4258,artifact
output_package/visualizations/architecture/arch_view_006.png,22643,86c82bc412b050e048fd8935ff0ff4c14b4669a9fe3f87c5a2349fec2aa52f62,artifact
output_package/visualizations/architecture/arch_view_007.png,22331,47c46811ec3a4d150565713da056540fe22cec85304ef35ca62495431004ca78,artifact
output_package/visualizations/architecture/arch_view_008.png,22694,5dd865720824266505080d9deb577d6e38d1c6ba9ae4e17b7b68c875cfd383ab,artifact
output_package/visualizations/architecture/arch_view_009.png,22692,7d077da8f6e643855a669e3f041132874170e6e5627d98da9b579db8f8cb6509,artifact
output_package/visualizations/architecture/arch_view_010.png,22705,70ee10f683c268c05d39acdf86ca59c3aa2667c2d01050424d0983a9e63b72d1,artifact
output_package/visualizations/architecture/arch_view_011.png,22274,b4360cdade927f8fa6afdf79b3571f55fc483abf2bd4ea9ae6a2672f5ac37d66,artifact
output_package/visualizations/architecture/arch_view_012.png,22639,f9ef92af7168a4c9467e5d99b15325d5074f95e682757b032dba87267d5a591e,artifact
output_package/visualizations/architecture/arch_view_013.png,22762,799e2c233606d6cf547db833b4d31078d7652f227eebcde2ce3e2b99dd5092dc,artifact
output_package/visualizations/architecture/arch_view_014.png,22407,0b51ba994ce38ce179acfb3d82e570a681de2ffbfc278981e65cc05e86423b02,artifact
output_package/visualizations/architecture/arch_view_015.png,22570,d2305560777d7e3c7400c05f7bc81ad3e131af59fb2504d9a0a18e6a9a2c5907,artifact
output_package/visualizations/benchmarks/bench_analysis_001.png,28877,5a873587aeeddaff07198407fa5e3a8f5a40c2811dc061a0e1449ee11ef54eaf,artifact
output_package/visualizations/benchmarks/bench_analysis_002.png,29194,e833d59fa7c76c65727066aaddd426b54aa6a64610fa7da1fab78b0558a7b21f,artifact
output_package/visualizations/benchmarks/bench_analysis_003.png,29262,fa230ed4c9925acf3411e55eda22761b8084bd817e2e3947089c9f47ccb4c105,artifact
output_package/visualizations/benchmarks/bench_analysis_004.png,26903,10f224707b29a232a36ebe15935cd3cc53a3c67de693ddc13a24907b63d3f701,artifact
output_package/visualizations/benchmarks/bench_analysis_005.png,27046,85b6663f01a9a7e1b06015a7d016d629670d6cf7919951f4f7afc842b404a524,artifact
output_package/visualizations/benchmarks/bench_analysis_006.png,27456,870735f556befd5a76bd5aec9e4fa64c2652ae5728fd4794d435b64455905a67,artifact
output_package/visualizations/benchmarks/bench_analysis_007.png,28267,800a6f5721ccfc453a2ed1ff5100a63816f7170bae7571437da7155ffd63e0b7,artifact
output_package/visualizations/benchmarks/bench_analysis_008.png,29212,df3fe4e4876a0448d9c72448e3fbd6c607531e868453e957adee5adb98b99cb0,artifact
output_package/visualizations/benchmarks/bench_analysis_009.png,27217,143f35592ea615ad8fc11affcd7531a83b6a52c45e83984d7fe92637e9fd1d8d,artifact
output_package/visualizations/benchmarks/bench_analysis_010.png,29471,33356260b099dfb6dc1cccd2cd2979a7200d1fa3fd24e44d5e368457813574dc,artifact
output_package/visualizations/benchmarks/bench_analysis_011.png,27110,d32da2bbba2f5159874b9e6fb5a643ccd9c748361681a2d2c7f32b57c6c361b5,artifact
output_package/visualizations/benchmarks/bench_analysis_012.png,27313,d6970b26ab8ecc20b412e3a64c2e0d6d6efc186f4424f870ed17668e99c760e2,artifact
output_package/visualizations/benchmarks/bench_analysis_013.png,29476,3f505e0b93ecde68e297afab73f4c6a13420fe1913b577864acc66d2004ff358,artifact
output_package/visualizations/benchmarks/bench_analysis_014.png,28627,43f1fc3c14406ab7c5dc16f4c618fa0a624aee68ca77c1cd7697cdf0a7a33e76,artifact
output_package/visualizations/benchmarks/bench_analysis_015.png,29217,fcfa68840c5d0dd391e9950dec48d9f38efa1cf290d9af33ddd4d2a3db2d0b2a,artifact
output_package/visualizations/benchmarks/bench_analysis_016.png,28806,c48139d105db91cd169c1aeb97c555c1b5496eda437d99c7b778fbfcc156fbc6,artifact
output_package/visualizations/benchmarks/bench_analysis_017.png,28418,d502529d92ae8e51ccf97495716e9a3893bec4946430f24743bafbc79f90be50,artifact
output_package/visualizations/benchmarks/bench_analysis_018.png,28849,db1dcc3184749576a1f2dbc6009ff361dc5a5eb48c0589f5ebb21e455fb82fce,artifact
output_package/visualizations/benchmarks/bench_analysis_019.png,29367,0487db90e9f46f47ea124997ba44b0a591b7519ef943d13a2f2a765df97a27b2,artifact
output_package/visualizations/benchmarks/bench_analysis_020.png,29086,cf829e8e13a6063b8921ea83af1929c8a7c3ee5639329ad7572e9907b59abf83,artifact
output_package/visualizations/benchmarks/multi_benchmark_comparison.png,94269,8d40dfacda12837b7f9066161d02b49270abe3444b82f80959259c70f5ad9189,artifact
output_package/visualizations/bm_001_execution_flow.png,233316,181d0c25b3febddf69dae66202553d3dd9a5ecd169010764c8a8b9b018d2223c,artifact
output_package/visualizations/compliance/compliance_001.png,43464,381a50e2d6d4e384c07854453d73881a486bec7cf610819baaf981afb7240bbf,artifact
output_package/visualizations/compliance/compliance_002.png,43770,41a2d1e36cbc6b3b12172e5e77d6ecff622539a269f9e47589a3270724d11acd,artifact
output_package/visualizations/compliance/compliance_003.png,43930,3ea1ac69a76d65155d5a2ad249c386ff3636e5435e5b60d69aa53abf85692d0b,artifact
output_package/visualizations/compliance/compliance_004.png,43670,aa3ef38b38609e3fe212c816cdbe4673e5076d94c05a1019c6b15950e0865677,artifact
output_package/visualizations/compliance/compliance_005.png,43791,0f130ebb9d28ba0edbcc6ad7d65898a0377935ec5e3a110caa8208834bc14e60,artifact
output_package/visualizations/compliance/compliance_006.png,43959,bef3ff7c279514af869d1dba72de1de771563f20dbfa50518e44f0ae7c98682e,artifact
output_package/visualizations/compliance/compliance_007.png,43629,083359f53b849a9eb19a1c1f4e1dab7587716eb967c6e084c489b09d4515e60d,artifact
output_package/visualizations/compliance/compliance_008.png,44003,9c641d1858bf90454fc747cf9c30531bb7969be19aa5e5c2945215d70b8bdae8,artifact
output_package/visualizations/compliance/compliance_009.png,43976,7a3ef1f5f932d7afc14be5643b0a238941766d63cadcdc69463f93f042a87591,artifact
output_package/visualizations/compliance/compliance_010.png,44037,ebb75ba181176c6bd2a9ec740498de57abcaaa7bcbea381a3d3d025c13cbc011,artifact
output_package/visualizations/hardware_metrics/cpu_utilization.png,162500,311ea4af4554b6bf9e217fb92017c8bb1744c48479f6100f87c36aef59c7be06,artifact
output_package/visualizations/hardware_metrics/gpu_memory_usage.png,94346,a539f0acecd5736ce73261cf34c58e16655ae10734f655da4de48de2336cc5fc,artifact
